id,name,scientific_name,classification,habitat,diet,conservation_status,region
1,Julie Bear,Wagner Welch,Mammal,Savannah,Herbivore,Vulnerable,North America
2,Andrew Wolf,Roth Benson,Bird,Ocean,Herbivore,Vulnerable,Worldwide
3,Steven Crocodile,Spencer Martin,Amphibian,Ocean,Omnivore,Least Concern,Africa
4,Emily Wolf,Mccann Cooley,Bird,Forest,Herbivore,Near Threatened,Australia
5,Jessica Owl,Smith Hill,Mammal,Caves,Carnivore,Least Concern,South America
6,Daniel Lizard,Martin Bell,Amphibian,Wetlands,Carnivore,Critically Endangered,Africa
7,Mary Lizard,Stewart Rivera,Amphibian,Rivers,Carnivore,Critically Endangered,Australia
8,Dennis Eagle,Escobar Clarke,Amphibian,Tundra,Herbivore,Near Threatened,Africa
9,John Crocodile,Lawrence Wilson,Mammal,Wetlands,Carnivore,Near Threatened,Antarctica
10,Christine Crocodile,Lopez Joseph,Amphibian,Mountains,Omnivore,Vulnerable,Asia
11,Charles Lizard,Gardner Zamora,Mammal,Wetlands,Herbivore,Vulnerable,South America
12,Carla Python,Gray Jones,Reptile,Tundra,Omnivore,Endangered,South America
13,Jason Wolf,Tran White,Bird,Ocean,Carnivore,Critically Endangered,Europe
14,Tyler Eagle,Rose Stewart,Fish,Savannah,Herbivore,Vulnerable,Africa
15,Nichole Lizard,Espinoza Berg,Fish,Forest,Omnivore,Critically Endangered,South America
16,Justin Bear,Villa Jones,Reptile,Rivers,Omnivore,Near Threatened,Antarctica
17,George Eagle,Walker Miller,Fish,Rivers,Herbivore,Vulnerable,Worldwide
18,Thomas Owl,Cummings Whitaker,Bird,Tundra,Herbivore,Critically Endangered,South America
19,Tracy Crocodile,Turner Medina,Reptile,Forest,Omnivore,Critically Endangered,Australia
20,Joseph Tiger,Ingram Carr,Reptile,Desert,Herbivore,Critically Endangered,South America
21,Pamela Crocodile,Pham Brown,Fish,Ocean,Omnivore,Endangered,Europe
22,Daniel Shark,Rose Frye,Amphibian,Caves,Omnivore,Endangered,North America
23,Alex Crocodile,Mcguire Rivera,Fish,Desert,Carnivore,Critically Endangered,Worldwide
24,Steven Owl,Moore Collins,Amphibian,Wetlands,Herbivore,Least Concern,Asia
25,Carol Python,Oconnor Willis,Fish,Ocean,Herbivore,Endangered,South America
26,Johnny Wolf,Brewer Johnson,Mammal,Wetlands,Omnivore,Least Concern,South America
27,Kimberly Falcon,Gates Blake,Amphibian,Caves,Herbivore,Near Threatened,Australia
